,tweet_id,favorites,retweet_count
1199,740995100998766593,6562,2860
1200,741067306818797568,9741,3213
1201,741303864243200000,9039,3337
1202,741438259667034112,3771,863
1203,741743634094141440,8414,2869
1204,741793263812808706,4675,1564
1205,742150209887731712,5283,1602
1206,742161199639494656,4472,1434
1207,742385895052087300,7003,2053
1208,742423170473463808,10103,3916
1209,742465774154047488,7470,4030
1210,742528092657332225,4550,2054
1211,743210557239623680,3961,1418
1212,743222593470234624,6386,1973
1213,743253157753532416,4356,1272
1214,743510151680958465,8154,3850
1215,743545585370791937,3638,976
1216,743595368194129920,18981,6811
1217,743609206067040256,4620,1433
1218,743895849529389061,3750,994
1219,743980027717509120,4292,1137
1220,744234799360020481,161349,81174
1221,744334592493166593,6976,2209
1222,744709971296780288,5776,1624
1223,744971049620602880,8133,2801
1224,744995568523612160,3055,642
1225,745057283344719872,7458,2364
1226,745314880350101504,7391,2881
1227,745422732645535745,8851,2528
1228,745433870967832576,7306,2646
1229,745712589599014916,7210,2418
1230,745789745784041472,4144,1110
1231,746056683365994496,3657,843
1232,746131877086527488,7129,2295
1233,746369468511756288,6367,1703
1234,746507379341139972,4787,1118
1235,746726898085036033,6228,1860
1236,746790600704425984,5026,1654
1237,746818907684614144,5464,1802
1238,746872823977771008,6179,2226
1239,746906459439529985,2985,310
1240,747103485104099331,9886,4145
1241,747204161125646336,3484,953
1242,747219827526344708,5464,1639
1243,747461612269887489,3990,1073
1244,747512671126323200,5705,1655
1245,747594051852075008,3806,1092
1246,747600769478692864,2394,577
1247,747816857231626240,4998,1211
1248,747844099428986880,2900,778
1249,747885874273214464,3044,1024
1250,747933425676525569,6834,2653
1251,747963614829678593,5964,2230
1252,748307329658011649,3782,736
1253,748324050481647620,3808,794
1254,748346686624440324,5387,1289
1255,748568946752774144,2259,695
1256,748575535303884801,6271,2065
1257,748692773788876800,4381,1376
1258,748699167502000129,4898,1660
1259,748705597323898880,2857,986
1260,748932637671223296,6025,2363
1261,748977405889503236,11095,3550
1262,749036806121881602,3208,819
1263,749064354620928000,4954,1580
1264,749317047558017024,5665,2321
1265,749395845976588288,8878,3597
1266,749403093750648834,2711,559
1267,749417653287129088,6310,1727
1268,749774190421639168,4819,1370
1269,749981277374128128,5288,2559
1270,749996283729883136,3161,849
1271,750011400160841729,3347,948
1272,750026558547456000,2802,821
1273,750041628174217216,3284,648
1274,750056684286914561,3255,941
1275,750071704093859840,8142,3489
1276,750086836815486976,2248,563
1277,750101899009982464,3148,880
1278,750117059602808832,4486,1362
1279,750132105863102464,3765,1345
1280,750147208377409536,3220,1003
1281,750383411068534784,4717,1191
1282,750429297815552001,13618,4475
1283,750506206503038976,4597,1187
1284,750719632563142656,13652,5261
1285,750868782890057730,4950,1441
1286,751132876104687617,5241,1355
1287,751205363882532864,6534,1905
1288,751251247299190784,12949,6155
1289,751456908746354688,3314,1047
1290,751538714308972544,5219,1318
1291,751583847268179968,4550,1157
1292,751598357617971201,8186,3174
1293,751830394383790080,5996,2038
1294,751937170840121344,5386,1404
1295,752173152931807232,6156,1918
1296,752309394570878976,0,17258
1297,752334515931054080,3945,1156
1298,752519690950500352,7635,3599
1299,752660715232722944,4551,1641
1300,752682090207055872,6205,1676
1301,752917284578922496,7148,1651
1302,753026973505581056,4046,1015
1303,753294487569522689,3499,1092
1304,753375668877008896,7913,2443
1305,753398408988139520,5980,2007
1306,753420520834629632,8215,3727
1307,753655901052166144,6040,2258
1308,754120377874386944,8148,2450
1309,754449512966619136,3889,760
1310,754482103782404096,5508,2042
1311,754747087846248448,2669,548
1312,754856583969079297,7136,2642
1313,754874841593970688,0,8336
1314,755110668769038337,22020,11609
1315,755206590534418437,17054,5599
1316,755955933503782912,7600,3018
1317,756275833623502848,6663,1598
1318,756288534030475264,44427,18274
1319,756303284449767430,4093,1140
1320,756526248105566208,10794,3767
1321,756651752796094464,5241,1367
1322,756939218950160384,6890,2106
1323,756998049151549440,6517,2077
1324,757354760399941633,4685,1494
1325,757393109802180609,6039,1818
1326,757400162377592832,15719,7170
1327,757596066325864448,4493,1105
1328,757597904299253760,0,309
1329,757611664640446465,4739,1160
1330,757725642876129280,4703,1269
1331,757729163776290825,0,8440
1332,757741869644341248,7133,3411
1333,758041019896193024,2806,390
1334,758355060040593408,3543,1135
1335,758405701903519748,5397,2022
1336,758467244762497024,4981,2327
1337,758474966123810816,3958,1042
1338,758740312047005698,5948,1687
1339,758828659922702336,11610,4028
1340,758854675097526272,3685,935
1341,759047813560868866,6752,2121
1342,759099523532779520,15083,4363
1343,759159934323924993,0,1223
1344,759197388317847553,6291,2044
1345,759447681597108224,8834,2553
1346,759557299618865152,4876,1230
1347,759566828574212096,0,22125
1348,759793422261743616,6193,1992
1349,759846353224826880,6973,2069
1350,759923798737051648,15239,5949
